teams_leag(ANA, A)
teams_leag(AND, N)
teams_leag(ATL, N)
teams_leag(BA1, N)
teams_leag(BAL, N)
teams_leag(BOS, N)
teams_leag(BUF, N)
teams_leag(CAP, N)
teams_leag(CAR, A)
teams_leag(CH1, N)
teams_leag(CH2, N)
teams_leag(CHA, N)
teams_leag(CHI, N)
teams_leag(CHR, N)
teams_leag(CIN, N)
teams_leag(CL1, N)
teams_leag(CLE, N)
teams_leag(DAL, N)
teams_leag(DE1, N)
teams_leag(DET, N)
teams_leag(DLC, A)
teams_leag(FLA, A)
teams_leag(FTW, N)
teams_leag(GSW, N)
teams_leag(HMV, A)
teams_leag(HOU, N)
teams_leag(IND, N)
teams_leag(INI, N)
teams_leag(INJ, N)
teams_leag(KCK, N)
teams_leag(KEN, A)
teams_leag(LAC, N)
teams_leag(LAL, N)
teams_leag(LAS, A)
teams_leag(MEM, N)
teams_leag(MFL, A)
teams_leag(MI1, N)
teams_leag(MIA, N)
teams_leag(MIE, N)
teams_leag(MIL, N)
teams_leag(MIN, N)
teams_leag(MMP, A)
teams_leag(MMS, A)
teams_leag(MMT, A)
teams_leag(MNM, A)
teams_leag(MNP, A)
teams_leag(NJA, A)
teams_leag(NJN, N)
teams_leag(NOB, A)
teams_leag(NOH, N)
teams_leag(NOJ, N)
teams_leag(NYK, N)
teams_leag(NYN, N)
teams_leag(OAK, A)
teams_leag(ORL, N)
teams_leag(PH1, N)
teams_leag(PHI, N)
teams_leag(PHO, N)
teams_leag(PIT, N)
teams_leag(POR, N)
teams_leag(PRO, N)
teams_leag(PTC, A)
teams_leag(PTP, A)
teams_leag(ROC, N)
teams_leag(SAC, N)
teams_leag(SAS, N)
teams_leag(SDC, N)
teams_leag(SDQ, A)
teams_leag(SDR, N)
teams_leag(SDS, A)
teams_leag(SEA, N)
teams_leag(SFW, N)
teams_leag(SHE, N)
teams_leag(ST1, N)
teams_leag(STL, N)
teams_leag(SYR, N)
teams_leag(TEX, A)
teams_leag(TOR, N)
teams_leag(TRI, N)
teams_leag(UTA, N)
teams_leag(UTS, A)
teams_leag(VAN, N)
teams_leag(VIR, A)
teams_leag(WA1, N)
teams_leag(WAC, A)
teams_leag(WAS, N)
teams_leag(WAT, N)
teams_leag(WSC, N)
teams_leag(DEN, N)
teams_leag(DN1, A)
teams_leag(ID1, A)
teams_leag(NY1, A)
teams_leag(SA1, A)
teams_leag(ST2, A)
teams_leag(TO1, N)
