movies_genre(5991, Drama)
movies_genre(27866, Drama)
movies_genre(33004, Comedy)
movies_genre(61628, Drama)
movies_genre(453, Comedy)
movies_genre(3, Comedy)
movies_genre(4, Drama)
movies_genre(5, Comedy)
movies_genre(6, Thriller)
movies_genre(7, Comedy)
movies_genre(9, Action)
movies_genre(10, Thriller)
movies_genre(11, Drama)
movies_genre(12, Comedy)
movies_genre(14, Drama)
movies_genre(15, Action)
movies_genre(16, Drama)
movies_genre(17, Drama)
movies_genre(18, Drama)
movies_genre(19, Comedy)
movies_genre(20, Drama)
movies_genre(21, Drama)
movies_genre(22, Drama)
movies_genre(23, Thriller)
movies_genre(24, Drama)
movies_genre(591, Drama)
movies_genre(25, Drama)
movies_genre(26, Drama)
movies_genre(27, Drama)
movies_genre(28, Drama)
movies_genre(29, Drama)
movies_genre(30, Drama)
movies_genre(31, Drama)
movies_genre(32, Thriller)
movies_genre(34, Drama)
movies_genre(35, Drama)
movies_genre(36, Drama)
movies_genre(38, Comedy)
movies_genre(39, Comedy)
movies_genre(40, Drama)
movies_genre(41, Drama)
movies_genre(42, Drama)
movies_genre(43, Drama)
movies_genre(44, Action)
movies_genre(45, Drama)
movies_genre(46, Drama)
movies_genre(47, Thriller)
movies_genre(49, Drama)
movies_genre(50, Thriller)
movies_genre(52, Drama)
movies_genre(53, Drama)
movies_genre(54, Comedy)
movies_genre(55, Drama)
movies_genre(57, Drama)
movies_genre(58, Drama)
movies_genre(59, Drama)
movies_genre(61, Drama)
movies_genre(62, Drama)
movies_genre(63, Comedy)
movies_genre(64, Comedy)
movies_genre(65, Comedy)
movies_genre(66, Thriller)
movies_genre(67, Drama)
movies_genre(68, Comedy)
movies_genre(69, Comedy)
movies_genre(70, Comedy)
movies_genre(71, Action)
movies_genre(72, Drama)
movies_genre(73, Drama)
movies_genre(74, Drama)
movies_genre(75, Drama)
movies_genre(76, Thriller)
movies_genre(78, Drama)
movies_genre(79, Drama)
movies_genre(80, Drama)
movies_genre(81, Drama)
movies_genre(82, Drama)
movies_genre(83, Drama)
movies_genre(84, Drama)
movies_genre(85, Drama)
movies_genre(86, Drama)
movies_genre(87, Comedy)
movies_genre(88, Comedy)
movies_genre(89, Thriller)
movies_genre(90, Drama)
movies_genre(92, Drama)
movies_genre(93, Comedy)
movies_genre(94, Drama)
movies_genre(95, Thriller)
movies_genre(96, Drama)
movies_genre(97, Drama)
movies_genre(98, Thriller)
movies_genre(100, Drama)
movies_genre(101, Comedy)
movies_genre(102, Comedy)
movies_genre(4380, Drama)
movies_genre(103, Thriller)
movies_genre(104, Comedy)
movies_genre(503, Drama)
movies_genre(105, Drama)
movies_genre(106, Drama)
movies_genre(107, Comedy)
movies_genre(110, Drama)
movies_genre(111, Drama)
movies_genre(112, Comedy)
movies_genre(113, Drama)
movies_genre(114, Drama)
movies_genre(115, Comedy)
movies_genre(117, Drama)
movies_genre(118, Comedy)
movies_genre(119, Comedy)
movies_genre(120, Drama)
movies_genre(121, Drama)
movies_genre(122, Comedy)
movies_genre(123, Drama)
movies_genre(124, Drama)
movies_genre(125, Comedy)
movies_genre(155, Drama)
movies_genre(129, Comedy)
movies_genre(130, Drama)
movies_genre(131, Drama)
movies_genre(132, Thriller)
movies_genre(135, Comedy)
movies_genre(139, Drama)
movies_genre(140, Drama)
movies_genre(141, Comedy)
movies_genre(143, Drama)
movies_genre(144, Comedy)
movies_genre(145, Action)
movies_genre(147, Drama)
movies_genre(148, Drama)
movies_genre(149, Drama)
movies_genre(150, Drama)
movies_genre(151, Drama)
movies_genre(152, Drama)
movies_genre(153, Comedy)
movies_genre(154, Drama)
movies_genre(156, Drama)
movies_genre(157, Comedy)
movies_genre(159, Drama)
movies_genre(160, Action)
movies_genre(161, Drama)
movies_genre(163, Thriller)
movies_genre(164, Thriller)
movies_genre(165, Thriller)
movies_genre(166, Drama)
movies_genre(167, Drama)
movies_genre(168, Drama)
movies_genre(169, Drama)
movies_genre(170, Thriller)
movies_genre(171, Drama)
movies_genre(172, Thriller)
movies_genre(173, Action)
movies_genre(174, Comedy)
movies_genre(175, Drama)
movies_genre(176, Comedy)
movies_genre(178, Drama)
movies_genre(179, Drama)
movies_genre(180, Comedy)
movies_genre(181, Action)
movies_genre(182, Drama)
movies_genre(183, Comedy)
movies_genre(184, Drama)
movies_genre(185, Thriller)
movies_genre(186, Comedy)
movies_genre(187, Comedy)
movies_genre(189, Comedy)
movies_genre(190, Thriller)
movies_genre(191, Drama)
movies_genre(193, Drama)
movies_genre(194, Drama)
movies_genre(195, Drama)
movies_genre(197, Drama)
movies_genre(198, Drama)
movies_genre(199, Drama)
movies_genre(200, Thriller)
movies_genre(201, Drama)
movies_genre(202, Drama)
movies_genre(203, Comedy)
movies_genre(204, Action)
movies_genre(205, Drama)
movies_genre(207, Drama)
