Attributes
atom_atomtype[X,Y,Y] :  5.84902e+00 ; iterations: [ 5.84902e+00 ]
atom_charge[X,Y,Y]   :  1.39585e+00 ; iterations: [ 1.39585e+00 ]
atom_name[X,Y,Y]     :  5.73681e-01 ; iterations: [ 5.73681e-01 ]
sbond_1_atomid[X,Y,Y]:  2.28260e-01 ; iterations: [ 2.28260e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.17886e-01 ; iterations: [ 2.17886e-01 ]
atom_charge[Y,Y,Y]   :  1.67174e-01 ; iterations: [ 1.67174e-01 ]
sbond_2_atomid[Y,Y,Y]:  9.78684e-02 ; iterations: [ 9.78684e-02 ]
atom_atomtype[Y,Y,Y] :  7.76826e-02 ; iterations: [ 7.76826e-02 ]
sbond_7_atomid[Y,Y,Y]:  6.25926e-02 ; iterations: [ 6.25926e-02 ]
sbond_7_atomid[X,Y,Y]:  5.85938e-02 ; iterations: [ 5.85938e-02 ]
sbond_2_atomid[X,Y,Y]:  1.76150e-02 ; iterations: [ 1.76150e-02 ]

Attributes summed
atom_atomtype        :  5.92670e+00 ; iterations: [ 5.92670e+00 ]
atom_charge          :  1.56302e+00 ; iterations: [ 1.56302e+00 ]
atom_name            :  5.73681e-01 ; iterations: [ 5.73681e-01 ]
sbond_1_atomid       :  4.46146e-01 ; iterations: [ 4.46146e-01 ]
sbond_7_atomid       :  1.21186e-01 ; iterations: [ 1.21186e-01 ]
sbond_2_atomid       :  1.15483e-01 ; iterations: [ 1.15483e-01 ]

Aggregators
count                :  5.49929e+00 ; iterations: [ 5.49929e+00 ]
projection2_mode     :  1.24486e+00 ; iterations: [ 1.24486e+00 ]
max                  :  5.37781e-01 ; iterations: [ 5.37781e-01 ]
sum                  :  5.04016e-01 ; iterations: [ 5.04016e-01 ]
mode                 :  4.00450e-01 ; iterations: [ 4.00450e-01 ]
min                  :  3.38134e-01 ; iterations: [ 3.38134e-01 ]
projection0_mode     :  2.21686e-01 ; iterations: [ 2.21686e-01 ]

