Attributes
atom_atomtype[X,Y,Y] :  5.53677e+00 ; iterations: [ 5.53677e+00 ]
atom_charge[X,Y,Y]   :  1.03201e+00 ; iterations: [ 1.03201e+00 ]
atom_name[X,Y,Y]     :  5.68618e-01 ; iterations: [ 5.68618e-01 ]
atom_charge[Y,Y,Y]   :  3.31461e-01 ; iterations: [ 3.31461e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.65337e-01 ; iterations: [ 2.65337e-01 ]
sbond_7_atomid[X,Y,Y]:  2.44898e-01 ; iterations: [ 2.44898e-01 ]
sbond_1_atomid[X,Y,Y]:  1.91702e-01 ; iterations: [ 1.91702e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.68912e-01 ; iterations: [ 1.68912e-01 ]
atom_atomtype[Y,Y,Y] :  1.22458e-01 ; iterations: [ 1.22458e-01 ]
sbond_2_atomid[X,Y,Y]:  8.61019e-02 ; iterations: [ 8.61019e-02 ]
sbond_7_atomid[Y,Y,Y]:  2.43407e-02 ; iterations: [ 2.43407e-02 ]
atom_name[Y,Y,Y]     :  1.37717e-02 ; iterations: [ 1.37717e-02 ]

Attributes summed
atom_atomtype        :  5.65922e+00 ; iterations: [ 5.65922e+00 ]
atom_charge          :  1.36347e+00 ; iterations: [ 1.36347e+00 ]
atom_name            :  5.82390e-01 ; iterations: [ 5.82390e-01 ]
sbond_1_atomid       :  4.57039e-01 ; iterations: [ 4.57039e-01 ]
sbond_7_atomid       :  2.69239e-01 ; iterations: [ 2.69239e-01 ]
sbond_2_atomid       :  2.55014e-01 ; iterations: [ 2.55014e-01 ]

Aggregators
count                :  4.73377e+00 ; iterations: [ 4.73377e+00 ]
projection2_mode     :  1.35658e+00 ; iterations: [ 1.35658e+00 ]
sum                  :  1.02729e+00 ; iterations: [ 1.02729e+00 ]
min                  :  4.91398e-01 ; iterations: [ 4.91398e-01 ]
mode                 :  4.67690e-01 ; iterations: [ 4.67690e-01 ]
max                  :  3.25524e-01 ; iterations: [ 3.25524e-01 ]
projection0_mode     :  1.84131e-01 ; iterations: [ 1.84131e-01 ]

