data set,fold,shrinkage,row proportion,evaluated splits,depth,accuracy
basket,0,0.05,0.6,0.2,2,0.9411764705882353
basket,0,0.05,0.6,0.2,4,0.9764705882352941
basket,0,0.05,0.6,0.2,6,0.9647058823529412
basket,0,0.05,0.6,0.2,8,0.9764705882352941
basket,0,0.05,0.6,0.4,2,0.9647058823529412
basket,0,0.05,0.6,0.4,4,0.9647058823529412
basket,0,0.05,0.6,0.4,6,0.9647058823529412
basket,0,0.05,0.6,0.4,8,0.9647058823529412
basket,0,0.05,0.6,0.6,2,0.9764705882352941
basket,0,0.05,0.6,0.6,4,0.9647058823529412
basket,0,0.05,0.6,0.6,6,0.9647058823529412
basket,0,0.05,0.6,0.6,8,0.9647058823529412
basket,0,0.05,0.6,0.8,2,0.9764705882352941
basket,0,0.05,0.6,0.8,4,0.9529411764705882
basket,0,0.05,0.6,0.8,6,0.9529411764705882
basket,0,0.05,0.6,0.8,8,0.9411764705882353
basket,0,0.05,0.6,1.0,2,0.9764705882352941
basket,0,0.05,0.6,1.0,4,0.9411764705882353
basket,0,0.05,0.6,1.0,6,0.9411764705882353
basket,0,0.05,0.6,1.0,8,0.9411764705882353
basket,0,0.05,0.6,sqrt,2,0.9176470588235294
basket,0,0.05,0.6,sqrt,4,0.9882352941176471
basket,0,0.05,0.6,sqrt,6,0.9647058823529412
basket,0,0.05,0.6,sqrt,8,0.9647058823529412
basket,0,0.05,0.8,0.2,2,0.9529411764705882
basket,0,0.05,0.8,0.2,4,0.9764705882352941
basket,0,0.05,0.8,0.2,6,0.9764705882352941
basket,0,0.05,0.8,0.2,8,0.9764705882352941
basket,0,0.05,0.8,0.4,2,0.9764705882352941
basket,0,0.05,0.8,0.4,4,0.9647058823529412
basket,0,0.05,0.8,0.4,6,0.9647058823529412
basket,0,0.05,0.8,0.4,8,0.9647058823529412
basket,0,0.05,0.8,0.6,2,0.9764705882352941
basket,0,0.05,0.8,0.6,4,0.9647058823529412
basket,0,0.05,0.8,0.6,6,0.9647058823529412
basket,0,0.05,0.8,0.6,8,0.9647058823529412
basket,0,0.05,0.8,0.8,2,0.9764705882352941
basket,0,0.05,0.8,0.8,4,0.9647058823529412
basket,0,0.05,0.8,0.8,6,0.9529411764705882
basket,0,0.05,0.8,0.8,8,0.9529411764705882
basket,0,0.05,0.8,1.0,2,0.9764705882352941
basket,0,0.05,0.8,1.0,4,0.9764705882352941
basket,0,0.05,0.8,1.0,6,0.9529411764705882
basket,0,0.05,0.8,1.0,8,0.9529411764705882
basket,0,0.05,0.8,sqrt,2,0.9294117647058824
basket,0,0.05,0.8,sqrt,4,0.9411764705882353
basket,0,0.05,0.8,sqrt,6,0.9529411764705882
basket,0,0.05,0.8,sqrt,8,0.9411764705882353
basket,0,0.05,1.0,0.2,2,0.9529411764705882
basket,0,0.05,1.0,0.2,4,0.9647058823529412
basket,0,0.05,1.0,0.2,6,0.9647058823529412
basket,0,0.05,1.0,0.2,8,0.9647058823529412
basket,0,0.05,1.0,0.4,2,0.9764705882352941
basket,0,0.05,1.0,0.4,4,0.9647058823529412
basket,0,0.05,1.0,0.4,6,0.9764705882352941
basket,0,0.05,1.0,0.4,8,0.9764705882352941
basket,0,0.05,1.0,0.6,2,0.9764705882352941
basket,0,0.05,1.0,0.6,4,0.9764705882352941
basket,0,0.05,1.0,0.6,6,0.9764705882352941
basket,0,0.05,1.0,0.6,8,0.9764705882352941
basket,0,0.05,1.0,0.8,2,0.9764705882352941
basket,0,0.05,1.0,0.8,4,0.9764705882352941
basket,0,0.05,1.0,0.8,6,0.9529411764705882
basket,0,0.05,1.0,0.8,8,0.9529411764705882
basket,0,0.05,1.0,1.0,2,0.9764705882352941
basket,0,0.05,1.0,1.0,4,0.9764705882352941
basket,0,0.05,1.0,1.0,6,0.9529411764705882
basket,0,0.05,1.0,1.0,8,0.9529411764705882
basket,0,0.05,1.0,sqrt,2,0.9294117647058824
basket,0,0.05,1.0,sqrt,4,0.9411764705882353
