basket
(0.9742544459644323, 0.008805175026523997, ('0.4', '1.0', '0.8', 'sqrt', '2'))
(0.970752393980848, 0.013130101203054174, ('0.6', '1.0', '0.6', 'sqrt', '2'))
(0.9696032831737348, 0.005665456938139086, ('0.4', '1.0', '0.6', 'sqrt', '2'))
(0.9695759233926127, 0.013092048361159741, ('0.6', '1.0', '0.8', 'sqrt', '2'))
(0.9683994528043776, 0.01062602615552322, ('0.6', '1.0', '1.0', '0.2', '2'))
(0.9672093023255813, 0.013788630744668823, ('0.6', '1.0', '1.0', 'sqrt', '2'))
(0.9649658002735979, 0.014644187068200028, ('0.4', '1.0', '0.6', 'sqrt', '8'))
(0.9649521203830369, 0.014687871132320673, ('0.4', '1.0', '0.6', 'sqrt', '4'))
(0.9649247606019152, 0.008973674545864053, ('0.4', '1.0', '1.0', 'sqrt', '2'))
(0.9649110807113545, 0.015622321220665482, ('0.2', '1.0', '0.6', 'sqrt', '2'))



imdb_big
(0.6339862434714625, 0.002605141777864066, ('0.05', '1.0', '0.6', '1.0', '8'))
(0.6337089701442064, 0.0029388663374583742, ('0.05', '1.0', '0.8', '0.8', '8'))
(0.6331543663071633, 0.002461891851260753, ('0.2', '1.0', '0.8', '1.0', '4'))
(0.6331039884974162, 0.0025662897650007037, ('0.2', '1.0', '0.6', '1.0', '4'))
(0.6330662099053168, 0.0021745477763682264, ('0.2', '1.0', '0.8', '0.6', '4'))
(0.6330661463691714, 0.0017681132085422626, ('0.05', '1.0', '0.6', '0.8', '8'))
(0.6330535328558909, 0.001762195265028315, ('0.05', '1.0', '0.6', '0.6', '8'))
(0.6327763246531839, 0.002596553491943194, ('0.05', '1.0', '0.8', '1.0', '6'))
(0.6327637190819216, 0.0016015799537250001, ('0.05', '1.0', '0.8', '0.6', '8'))
(0.6326629332827586, 0.0026672827893354234, ('0.2', '1.0', '0.8', '0.8', '4'))



movie
(0.5111736464034402, 0.002031389346618629, ('0.05', '1.0', '0.8', '0.2', '4'))
(0.5104705824863175, 0.0011314933287900782, ('0.05', '1.0', '0.8', '0.6', '2'))
(0.5103923964034403, 0.0015160629164202564, ('0.2', '1.0', '1.0', '0.2', '2'))
(0.5103922742376856, 0.0029606360233622488, ('0.05', '1.0', '0.6', '0.2', '4'))
(0.5102362685691947, 0.001119031909463379, ('0.05', '1.0', '0.8', '0.4', '2'))
(0.5102362685691947, 0.001119031909463379, ('0.05', '1.0', '0.8', 'sqrt', '2'))
(0.5102362074863175, 0.0011973821535678417, ('0.05', '1.0', '0.8', '0.8', '2'))
(0.5099235242376857, 0.001095045809088337, ('0.05', '1.0', '0.6', '0.6', '2'))
(0.5099235242376857, 0.0012010420952435078, ('0.05', '1.0', '0.6', '0.8', '2'))
(0.5098453381548085, 0.0009543878512973701, ('0.05', '1.0', '0.6', '0.4', '2'))



stack_big
(0.9513805787530301, 0.0005811712090956091, ('0.2', '1.0', '0.6', '1.0', '4'))
(0.9513046702221256, 0.00065350086112169, ('0.4', '1.0', '0.8', '1.0', '4'))
(0.9512856948900572, 0.0006243406435304158, ('0.4', '1.0', '0.6', '1.0', '4'))
(0.9512856840861103, 0.000583468216109279, ('0.4', '1.0', '0.6', '0.8', '4'))
(0.9512097611499432, 0.00077253599340497, ('0.6', '1.0', '0.8', '1.0', '4'))
(0.9511908038244531, 0.0006116480774555008, ('0.6', '1.0', '0.8', '0.8', '4'))
(0.9511907894191906, 0.0007405345972551719, ('0.4', '1.0', '0.6', 'sqrt', '6'))
(0.951171806884491, 0.0006813888178690513, ('0.6', '1.0', '0.6', '1.0', '4'))
(0.951152849559001, 0.0006140158842554661, ('0.2', '1.0', '0.8', '0.4', '6'))
(0.9511528351537383, 0.0007077139793490638, ('0.05', '1.0', '0.6', '0.6', '8'))



yelp_small
(0.8556628876952399, 0.007272044842629705, ('0.2', '1.0', '0.8', '0.6', '4'))
(0.8553120126735811, 0.011304984938129772, ('0.05', '1.0', '0.8', '0.4', '6'))
(0.8551337904403574, 0.007784803387561003, ('0.2', '1.0', '1.0', '0.8', '4'))
(0.8544338968786356, 0.010345924090188172, ('0.05', '1.0', '0.6', '0.4', '6'))
(0.8540842595113741, 0.01121756222124357, ('0.05', '1.0', '0.6', '0.6', '6'))
(0.853730599767321, 0.008838434040732488, ('0.2', '1.0', '0.8', '0.4', '4'))
(0.8521494962746603, 0.011852646978678612, ('0.2', '1.0', '0.8', '0.8', '4'))
(0.8521485680338623, 0.009293135463159739, ('0.2', '1.0', '1.0', '0.6', '4'))
(0.8514440332681502, 0.005101697232780921, ('0.2', '1.0', '0.8', '1.0', '4'))
(0.8510928488328918, 0.009490279041259726, ('0.2', '1.0', '1.0', 'sqrt', '4'))


