Attributes
sbond_1_atomid_2[X,Y,Y]:  1.29249e+00 ; iterations: [ 1.29249e+00 ]
atom_charge[X,Y,Y]     :  1.20388e+00 ; iterations: [ 1.20388e+00 ]
sbond_1_atomid[X,Y,Y]  :  1.14753e+00 ; iterations: [ 1.14753e+00 ]
atom_atomtype[X,Y,Y]   :  7.25250e-01 ; iterations: [ 7.25250e-01 ]
sbond_1_atomid[Y,Y,Y]  :  6.31169e-01 ; iterations: [ 6.31169e-01 ]
atom_name[X,Y,Y]       :  4.79388e-01 ; iterations: [ 4.79388e-01 ]
sbond_7_atomid[X,Y,Y]  :  3.15089e-01 ; iterations: [ 3.15089e-01 ]
atom_charge[Y,Y,Y]     :  2.99753e-01 ; iterations: [ 2.99753e-01 ]
sbond_7_atomid_2[X,Y,Y]:  2.94002e-01 ; iterations: [ 2.94002e-01 ]
atom_atomtype[Y,Y,Y]   :  1.84408e-01 ; iterations: [ 1.84408e-01 ]
sbond_2_atomid_2[X,Y,Y]:  1.55491e-01 ; iterations: [ 1.55491e-01 ]
sbond_2_atomid[Y,Y,Y]  :  1.24678e-01 ; iterations: [ 1.24678e-01 ]
sbond_7_atomid_2[Y,Y,Y]:  6.31313e-02 ; iterations: [ 6.31313e-02 ]
sbond_2_atomid[X,Y,Y]  :  5.22568e-02 ; iterations: [ 5.22568e-02 ]
sbond_1_atomid_2[Y,Y,Y]:  5.01918e-02 ; iterations: [ 5.01918e-02 ]
atom_name[Y,Y,Y]       :  4.53680e-02 ; iterations: [ 4.53680e-02 ]
sbond_7_atomid[Y,Y,Y]  :  1.90179e-02 ; iterations: [ 1.90179e-02 ]

Attributes summed
sbond_1_atomid         :  1.77870e+00 ; iterations: [ 1.77870e+00 ]
atom_charge            :  1.50363e+00 ; iterations: [ 1.50363e+00 ]
sbond_1_atomid_2       :  1.34268e+00 ; iterations: [ 1.34268e+00 ]
atom_atomtype          :  9.09658e-01 ; iterations: [ 9.09658e-01 ]
atom_name              :  5.24756e-01 ; iterations: [ 5.24756e-01 ]
sbond_7_atomid_2       :  3.57134e-01 ; iterations: [ 3.57134e-01 ]
sbond_7_atomid         :  3.34107e-01 ; iterations: [ 3.34107e-01 ]
sbond_2_atomid         :  1.76935e-01 ; iterations: [ 1.76935e-01 ]
sbond_2_atomid_2       :  1.55491e-01 ; iterations: [ 1.55491e-01 ]

Aggregators
count                  :  3.00579e+00 ; iterations: [ 3.00579e+00 ]
sum                    :  1.84265e+00 ; iterations: [ 1.84265e+00 ]
mode                   :  1.15296e+00 ; iterations: [ 1.15296e+00 ]
max                    :  5.27747e-01 ; iterations: [ 5.27747e-01 ]
projection2_mode       :  3.69669e-01 ; iterations: [ 3.69669e-01 ]
projection0_mode       :  1.67129e-01 ; iterations: [ 1.67129e-01 ]
projection1_mode       :  1.40578e-02 ; iterations: [ 1.40578e-02 ]
min                    :  3.09917e-03 ; iterations: [ 3.09917e-03 ]

