Attributes
bonds_bond_type[Y,Y,Y,Y]:  3.07999e-01 ; iterations: [ 3.07999e-01 ]
atoms_element[Y,X,Y]    :  2.79166e-01 ; iterations: [ 2.79166e-01 ]
bonds_bond_type[X,Y,Y,Y]:  2.33240e-01 ; iterations: [ 2.33240e-01 ]
atoms_charge[Y,Y,Y]     :  1.34097e-01 ; iterations: [ 1.34097e-01 ]
atoms_charge[Y,X,Y]     :  1.28249e-01 ; iterations: [ 1.28249e-01 ]
drugs_lumo[X,Y]         :  3.56135e-02 ; iterations: [ 3.56135e-02 ]

Attributes summed
bonds_bond_type         :  5.41239e-01 ; iterations: [ 5.41239e-01 ]
atoms_element           :  2.79166e-01 ; iterations: [ 2.79166e-01 ]
atoms_charge            :  2.62346e-01 ; iterations: [ 2.62346e-01 ]
drugs_lumo              :  3.56135e-02 ; iterations: [ 3.56135e-02 ]

Aggregators
count                   :  3.36167e-01 ; iterations: [ 3.36167e-01 ]
projection0_mode        :  3.07999e-01 ; iterations: [ 3.07999e-01 ]
sum                     :  1.42222e-01 ; iterations: [ 1.42222e-01 ]
min                     :  1.01651e-01 ; iterations: [ 1.01651e-01 ]
projection2_sum         :  1.01651e-01 ; iterations: [ 1.01651e-01 ]
max                     :  7.15365e-02 ; iterations: [ 7.15365e-02 ]
projection2_min         :  3.24466e-02 ; iterations: [ 3.24466e-02 ]
projection1_mode        :  2.46914e-02 ; iterations: [ 2.46914e-02 ]

