Attributes
bonds_bond_type[X,Y,Y,Y]:  1.09038e+00 ; iterations: [ 1.09038e+00 ]
atoms_charge[Y,X,Y]     :  8.27640e-01 ; iterations: [ 8.27640e-01 ]
atoms_atom_type[Y,X,Y]  :  7.54492e-01 ; iterations: [ 7.54492e-01 ]
atoms_atom_type[Y,Y,Y]  :  3.80208e-01 ; iterations: [ 3.80208e-01 ]
bonds_bond_type[Y,Y,Y,Y]:  1.40254e-01 ; iterations: [ 1.40254e-01 ]
atoms_charge[Y,Y,Y]     :  1.05429e-01 ; iterations: [ 1.05429e-01 ]
atoms_element[Y,X,Y]    :  3.15784e-02 ; iterations: [ 3.15784e-02 ]
ring_strucs_name[Y,X,Y] :  1.78991e-02 ; iterations: [ 1.78991e-02 ]

Attributes summed
bonds_bond_type         :  1.23063e+00 ; iterations: [ 1.23063e+00 ]
atoms_atom_type         :  1.13470e+00 ; iterations: [ 1.13470e+00 ]
atoms_charge            :  9.33069e-01 ; iterations: [ 9.33069e-01 ]
atoms_element           :  3.15784e-02 ; iterations: [ 3.15784e-02 ]
ring_strucs_name        :  1.78991e-02 ; iterations: [ 1.78991e-02 ]

Aggregators
sum                     :  1.39843e+00 ; iterations: [ 1.39843e+00 ]
count                   :  4.96764e-01 ; iterations: [ 4.96764e-01 ]
min                     :  4.18560e-01 ; iterations: [ 4.18560e-01 ]
projection2_sum         :  3.36976e-01 ; iterations: [ 3.36976e-01 ]
projection3_mode        :  2.46914e-01 ; iterations: [ 2.46914e-01 ]
max                     :  2.43634e-01 ; iterations: [ 2.43634e-01 ]
projection2_max         :  1.48661e-01 ; iterations: [ 1.48661e-01 ]
projection0_mode        :  5.10545e-02 ; iterations: [ 5.10545e-02 ]
mode                    :  6.88705e-03 ; iterations: [ 6.88705e-03 ]

