Attributes
bonds_bond_type[X,Y,Y,Y]:  9.56561e-01 ; iterations: [ 9.56561e-01 ]
atoms_charge[Y,Y,Y]     :  5.44345e-01 ; iterations: [ 5.44345e-01 ]
atoms_atom_type[Y,X,Y]  :  4.60507e-01 ; iterations: [ 4.60507e-01 ]
atoms_element[Y,X,Y]    :  2.18843e-01 ; iterations: [ 2.18843e-01 ]
atoms_charge[Y,X,Y]     :  1.97886e-01 ; iterations: [ 1.97886e-01 ]
bonds_bond_type[Y,Y,Y,Y]:  1.83617e-01 ; iterations: [ 1.83617e-01 ]
drugs_lumo[X,Y]         :  8.44227e-02 ; iterations: [ 8.44227e-02 ]
atoms_atom_type[Y,Y,Y]  :  2.55932e-02 ; iterations: [ 2.55932e-02 ]

Attributes summed
bonds_bond_type         :  1.14018e+00 ; iterations: [ 1.14018e+00 ]
atoms_charge            :  7.42231e-01 ; iterations: [ 7.42231e-01 ]
atoms_atom_type         :  4.86101e-01 ; iterations: [ 4.86101e-01 ]
atoms_element           :  2.18843e-01 ; iterations: [ 2.18843e-01 ]
drugs_lumo              :  8.44227e-02 ; iterations: [ 8.44227e-02 ]

Aggregators
sum                     :  1.07582e+00 ; iterations: [ 1.07582e+00 ]
count                   :  4.50448e-01 ; iterations: [ 4.50448e-01 ]
min                     :  2.49495e-01 ; iterations: [ 2.49495e-01 ]
projection2_sum         :  2.44888e-01 ; iterations: [ 2.44888e-01 ]
projection2_min         :  2.40000e-01 ; iterations: [ 2.40000e-01 ]
max                     :  1.97086e-01 ; iterations: [ 1.97086e-01 ]
projection3_mode        :  9.00000e-02 ; iterations: [ 9.00000e-02 ]
projection2_max         :  8.50506e-02 ; iterations: [ 8.50506e-02 ]
projection1_mode        :  3.67499e-02 ; iterations: [ 3.67499e-02 ]
mode                    :  2.23472e-03 ; iterations: [ 2.23472e-03 ]

