data set,fold,shrinkage,depth,accuracy
basket,0,0.05,2,0.7
basket,0,0.05,4,0.7
basket,0,0.05,6,0.7
basket,0,0.05,8,0.7
basket,0,0.2,2,0.7
basket,0,0.2,4,0.7
basket,0,0.2,6,0.7
basket,0,0.2,8,0.7
basket,0,0.4,2,0.7
basket,0,0.4,4,0.7
basket,0,0.4,6,0.7
basket,0,0.4,8,0.7
basket,0,0.6,2,0.7
basket,0,0.6,4,0.7
basket,0,0.6,6,0.7
basket,0,0.6,8,0.7
basket,1,0.05,2,0.7
basket,1,0.05,4,0.8
basket,1,0.05,6,0.7
basket,1,0.05,8,0.7
basket,1,0.2,2,0.7
basket,1,0.2,4,0.7
basket,1,0.2,6,0.7
basket,1,0.2,8,0.7
basket,1,0.4,2,0.7
basket,1,0.4,4,0.7
basket,1,0.4,6,0.7
basket,1,0.4,8,0.7
basket,1,0.6,2,0.7
basket,1,0.6,4,0.7
basket,1,0.6,6,0.7
basket,1,0.6,8,0.7
basket,2,0.05,2,0.7
basket,2,0.05,4,0.7
basket,2,0.05,6,0.7
basket,2,0.05,8,0.7
basket,2,0.2,2,0.7
basket,2,0.2,4,0.7
basket,2,0.2,6,0.7
basket,2,0.2,8,0.7
basket,2,0.4,2,0.7
basket,2,0.4,4,0.7
basket,2,0.4,6,0.7
basket,2,0.4,8,0.7
basket,2,0.6,2,0.7
basket,2,0.6,4,0.7
basket,2,0.6,6,0.7
basket,2,0.6,8,0.7
basket,3,0.05,2,0.7
basket,3,0.05,4,0.7
basket,3,0.05,6,0.7
basket,3,0.05,8,0.7
basket,3,0.2,2,0.7
basket,3,0.2,4,0.5
basket,3,0.2,6,0.7
basket,3,0.2,8,0.7
basket,3,0.4,2,0.7
basket,3,0.4,4,0.6
basket,3,0.4,6,0.6
basket,3,0.4,8,0.7
basket,3,0.6,2,0.7
basket,3,0.6,4,0.5
basket,3,0.6,6,0.7
basket,3,0.6,8,0.7
basket,4,0.05,2,0.7
basket,4,0.05,4,0.7
basket,4,0.05,6,0.7
basket,4,0.05,8,0.7
basket,4,0.2,2,0.7
basket,4,0.2,4,0.7
basket,4,0.2,6,0.7
basket,4,0.2,8,0.7
basket,4,0.4,2,0.7
basket,4,0.4,4,0.7
basket,4,0.4,6,0.7
basket,4,0.4,8,0.7
